"Country or Area","Year(s)","Value","Value Footnotes"
"South Africa","1992","38650",""
"South Africa","1991","37694",""
"South Africa","1990","36793",""
"South Sudan","2012","10838",""
"South Sudan","2011","10381",""
"South Sudan","2010","9941",""
"South Sudan","2009","9521",""
"South Sudan","2008","9118",""
"South Sudan","2007","8737",""
"South Sudan","2006","8377",""
"South Sudan","2005","8039",""
"South Sudan","2004","7730",""
"South Sudan","2003","7450",""
"South Sudan","2002","7187",""
"South Sudan","2001","6924",""
"South Sudan","2000","6653",""
"South Sudan","1999","6362",""
"South Sudan","1998","6061",""
"South Sudan","1997","5779",""
"South Sudan","1996","5561",""
"South Sudan","1995","5434",""
"South Sudan","1994","5411",""
"South Sudan","1993","5475",""
"South Sudan","1992","5589",""
"South Sudan","1991","5698",""
"South Sudan","1990","5764",""
"Spain","2012","46755",""
"Spain","2011","46514",""
"Spain","2010","46182",""
"Spain","2009","45754",""
"Spain","2008","45243",""
"Spain","2007","44664",""
"Spain","2006","44038",""
"Spain","2005","43387",""
"Spain","2004","42710",""
"Spain","2003","42016",""
"Spain","2002","41347",""
"Spain","2001","40757",""
"Spain","2000","40283",""
"Spain","1999","39945",""
"Spain","1998","39730",""
"Spain","1997","39604",""
"Spain","1996","39514",""
"Spain","1995","39421",""
"Spain","1994","39312",""
"Spain","1993","39197",""
"Spain","1992","39080",""
"Spain","1991","38973",""
"Spain","1990","38883",""
"Sri Lanka","2012","21098",""
"Sri Lanka","2011","20926",""
"Sri Lanka","2010","20759",""
"Sri Lanka","2009","20602",""
"Sri Lanka","2008","20452",""
"Sri Lanka","2007","20302",""
"Sri Lanka","2006","20138",""
"Sri Lanka","2005","19951",""
"Sri Lanka","2004","19738",""
"Sri Lanka","2003","19502",""
"Sri Lanka","2002","19261",""
"Sri Lanka","2001","19037",""
"Sri Lanka","2000","18846",""
"Sri Lanka","1999","18695",""
"Sri Lanka","1998","18576",""
"Sri Lanka","1997","18474",""
"Sri Lanka","1996","18368",""
"Sri Lanka","1995","18242",""
"Sri Lanka","1994","18091",""
"Sri Lanka","1993","17921",""
"Sri Lanka","1992","17733",""
"Sri Lanka","1991","17533",""
"Sri Lanka","1990","17324",""
"Sudan","2012","37195",""
"Sudan","2011","36431",""
"Sudan","2010","35652",""
"Sudan","2009","34853",""
"Sudan","2008","34040",""
"Sudan","2007","33218",""
"Sudan","2006","32398",""
"Sudan","2005","31586",""
"Sudan","2004","30779",""
"Sudan","2003","29974",""
"Sudan","2002","29186",""
"Sudan","2001","28435",""
"Sudan","2000","27730",""
"Sudan","1999","27085",""
"Sudan","1998","26491",""
"Sudan","1997","25904",""
"Sudan","1996","25263",""
"Sudan","1995","24530",""
"Sudan","1994","23683",""
"Sudan","1993","22745",""
"Sudan","1992","21772",""
"Sudan","1991","20841",""
"Sudan","1990","20009",""
"Suriname","2012","535",""
"Suriname","2011","530",""
"Suriname","2010","525",""
"Suriname","2009","520",""
"Suriname","2008","515",""
"Suriname","2007","510",""
"Suriname","2006","505",""
"Suriname","2005","500",""
"Suriname","2004","493",""
"Suriname","2003","487",""
"Suriname","2002","480",""
"Suriname","2001","473",""
"Suriname","2000","467",""
"Suriname","1999","460",""
"Suriname","1998","454",""
"Suriname","1997","448",""
"Suriname","1996","442",""
"Suriname","1995","436",""
"Suriname","1994","430",""
"Suriname","1993","424",""
"Suriname","1992","419",""
"Suriname","1991","413",""
"Suriname","1990","407",""
"Swaziland","2012","1231",""
"Swaziland","2011","1212",""
"Swaziland","2010","1193",""
"Swaziland","2009","1174",""
"Swaziland","2008","1154",""
"Swaziland","2007","1135",""
"Swaziland","2006","1118",""
"Swaziland","2005","1105",""
"Swaziland","2004","1095",""
"Swaziland","2003","1088",""
"Swaziland","2002","1082",""
"Swaziland","2001","1075",""
"Swaziland","2000","1064",""
"Swaziland","1999","1048",""
"Swaziland","1998","1029",""
"Swaziland","1997","1007",""
"Swaziland","1996","985",""
"Swaziland","1995","963",""
"Swaziland","1994","944",""
"Swaziland","1993","926",""
"Swaziland","1992","908",""
"Swaziland","1991","887",""
"Swaziland","1990","863",""
"Sweden","2012","9511",""
"Sweden","2011","9449",""
"Sweden","2010","9382",""
"Sweden","2009","9310",""
"Sweden","2008","9235",""
"Sweden","2007","9159",""
"Sweden","2006","9090",""
"Sweden","2005","9030",""
"Sweden","2004","8981",""
"Sweden","2003","8942",""
"Sweden","2002","8911",""
"Sweden","2001","8888",""
"Sweden","2000","8872",""
"Sweden","1999","8864",""
"Sweden","1998","8861",""
"Sweden","1997","8859",""
"Sweden","1996","8849",""
"Sweden","1995","8827",""
"Sweden","1994","8789",""
"Sweden","1993","8738",""
"Sweden","1992","8678",""
"Sweden","1991","8617",""
"Sweden","1990","8559",""
"Switzerland","2012","7997",""
"Switzerland","2011","7915",""
"Switzerland","2010","7831",""
"Switzerland","2009","7743",""
"Switzerland","2008","7653",""
"Switzerland","2007","7565",""
"Switzerland","2006","7482",""
"Switzerland","2005","7409",""
"Switzerland","2004","7345",""
"Switzerland","2003","7289",""
"Switzerland","2002","7242",""
"Switzerland","2001","7201",""
"Switzerland","2000","7166",""
"Switzerland","1999","7137",""
"Switzerland","1998","7114",""
"Switzerland","1997","7090",""
"Switzerland","1996","7060",""
"Switzerland","1995","7017",""
"Switzerland","1994","6960",""
"Switzerland","1993","6890",""
"Switzerland","1992","6814",""
"Switzerland","1991","6740",""
"Switzerland","1990","6674",""
"Syrian Arab Republic","2012","21890",""
"Syrian Arab Republic","2011","21804",""
"Syrian Arab Republic","2010","21533",""
"Syrian Arab Republic","2009","21032",""
"Syrian Arab Republic","2008","20346",""
"Syrian Arab Republic","2007","19561",""
"Syrian Arab Republic","2006","18805",""
"Syrian Arab Republic","2005","18167",""
"Syrian Arab Republic","2004","17676",""
"Syrian Arab Republic","2003","17298",""
"Syrian Arab Republic","2002","16995",""
"Syrian Arab Republic","2001","16701",""
"Syrian Arab Republic","2000","16371",""
"Syrian Arab Republic","1999","15996",""
"Syrian Arab Republic","1998","15591",""
"Syrian Arab Republic","1997","15169",""
"Syrian Arab Republic","1996","14746",""
"Syrian Arab Republic","1995","14338",""
"Syrian Arab Republic","1994","13946",""
"Syrian Arab Republic","1993","13563",""
"Syrian Arab Republic","1992","13188",""
"Syrian Arab Republic","1991","12818",""
"Syrian Arab Republic","1990","12452",""
"Tajikistan","2012","8009",""
"Tajikistan","2011","7815",""
"Tajikistan","2010","7627",""
"Tajikistan","2009","7447",""
"Tajikistan","2008","7275",""
"Tajikistan","2007","7111",""
"Tajikistan","2006","6955",""
"Tajikistan","2005","6806",""
"Tajikistan","2004","6664",""
"Tajikistan","2003","6530",""
"Tajikistan","2002","6404",""
"Tajikistan","2001","6289",""
"Tajikistan","2000","6186",""
"Tajikistan","1999","6095",""
"Tajikistan","1998","6013",""
"Tajikistan","1997","5937",""
"Tajikistan","1996","5862",""
"Tajikistan","1995","5784",""
"Tajikistan","1994","5703",""
"Tajikistan","1993","5617",""
"Tajikistan","1992","5523",""
"Tajikistan","1991","5418",""
"Tajikistan","1990","5297",""
"Thailand","2012","66785",""
"Thailand","2011","66576",""
"Thailand","2010","66402",""
"Thailand","2009","66277",""
"Thailand","2008","66185",""
"Thailand","2007","66077",""
"Thailand","2006","65884",""
"Thailand","2005","65559",""
"Thailand","2004","65087",""
"Thailand","2003","64488",""
"Thailand","2002","63798",""
"Thailand","2001","63069",""
"Thailand","2000","62343",""
"Thailand","1999","61623",""
"Thailand","1998","60903",""
"Thailand","1997","60207",""
"Thailand","1996","59562",""
"Thailand","1995","58984",""
"Thailand","1994","58491",""
"Thailand","1993","58070",""
"Thailand","1992","57661",""
"Thailand","1991","57184",""
"Thailand","1990","56583",""
"The former Yugoslav Republic of Macedonia","2012","2106",""
"The former Yugoslav Republic of Macedonia","2011","2104",""
"The former Yugoslav Republic of Macedonia","2010","2102",""
"The former Yugoslav Republic of Macedonia","2009","2101",""
"The former Yugoslav Republic of Macedonia","2008","2099",""
"The former Yugoslav Republic of Macedonia","2007","2097",""
"The former Yugoslav Republic of Macedonia","2006","2094",""
"The former Yugoslav Republic of Macedonia","2005","2090",""
"The former Yugoslav Republic of Macedonia","2004","2086",""
"The former Yugoslav Republic of Macedonia","2003","2081",""
"The former Yugoslav Republic of Macedonia","2002","2074",""
"The former Yugoslav Republic of Macedonia","2001","2065",""
"The former Yugoslav Republic of Macedonia","2000","2052",""
"The former Yugoslav Republic of Macedonia","1999","2034",""
"The former Yugoslav Republic of Macedonia","1998","2013",""
"The former Yugoslav Republic of Macedonia","1997","1992",""
"The former Yugoslav Republic of Macedonia","1996","1975",""
"The former Yugoslav Republic of Macedonia","1995","1967",""
"The former Yugoslav Republic of Macedonia","1994","1969",""
"The former Yugoslav Republic of Macedonia","1993","1979",""
"The former Yugoslav Republic of Macedonia","1992","1993",""
"The former Yugoslav Republic of Macedonia","1991","2005",""
"The former Yugoslav Republic of Macedonia","1990","2010",""
"Timor-Leste","2012","1114",""
"Timor-Leste","2011","1096",""
"Timor-Leste","2010","1079",""
"Timor-Leste","2009","1064",""
"Timor-Leste","2008","1050",""
"Timor-Leste","2007","1036",""
"Timor-Leste","2006","1018",""
"Timor-Leste","2005","996",""
"Timor-Leste","2004","967",""
"Timor-Leste","2003","933",""
"Timor-Leste","2002","899",""
"Timor-Leste","2001","871",""
"Timor-Leste","2000","854",""
"Timor-Leste","1999","848",""
"Timor-Leste","1998","853",""
"Timor-Leste","1997","863",""
"Timor-Leste","1996","869",""
"Timor-Leste","1995","867",""
"Timor-Leste","1994","854",""
"Timor-Leste","1993","832",""
"Timor-Leste","1992","805",""
"Timor-Leste","1991","777",""
"Timor-Leste","1990","751",""
"Togo","2012","6643",""
"Togo","2011","6472",""
"Togo","2010","6306",""
"Togo","2009","6144",""
"Togo","2008","5987",""
"Togo","2007","5835",""
"Togo","2006","5686",""
"Togo","2005","5540",""
"Togo","2004","5398",""
"Togo","2003","5259",""
"Togo","2002","5124",""
"Togo","2001","4992",""
"Togo","2000","4865",""
"Togo","1999","4741",""
"Togo","1998","4621",""
"Togo","1997","4504",""
"Togo","1996","4392",""
"Togo","1995","4284",""
"Togo","1994","4181",""
"Togo","1993","4082",""
"Togo","1992","3985",""
"Togo","1991","3888",""
"Togo","1990","3788",""
"Tonga","2012","105",""
"Tonga","2011","105",""
"Tonga","2010","104",""
"Tonga","2009","104",""
"Tonga","2008","103",""
"Tonga","2007","102",""
"Tonga","2006","102",""
"Tonga","2005","101",""
"Tonga","2004","100",""
"Tonga","2003","100",""
"Tonga","2002","99",""
"Tonga","2001","99",""
"Tonga","2000","98",""
"Tonga","1999","97",""
"Tonga","1998","97",""
"Tonga","1997","97",""
"Tonga","1996","96",""
"Tonga","1995","96",""
"Tonga","1994","96",""
"Tonga","1993","96",""
"Tonga","1992","95",""
"Tonga","1991","95",""
"Tonga","1990","95",""
"Trinidad and Tobago","2012","1337",""
"Trinidad and Tobago","2011","1333",""
"Trinidad and Tobago","2010","1328",""
"Trinidad and Tobago","2009","1323",""
"Trinidad and Tobago","2008","1316",""
"Trinidad and Tobago","2007","1310",""
"Trinidad and Tobago","2006","1303",""
"Trinidad and Tobago","2005","1297",""
"Trinidad and Tobago","2004","1290",""
"Trinidad and Tobago","2003","1284",""
"Trinidad and Tobago","2002","1278",""
"Trinidad and Tobago","2001","1272",""
"Trinidad and Tobago","2000","1268",""
"Trinidad and Tobago","1999","1265",""
"Trinidad and Tobago","1998","1263",""
"Trinidad and Tobago","1997","1261",""
"Trinidad and Tobago","1996","1258",""
"Trinidad and Tobago","1995","1255",""
"Trinidad and Tobago","1994","1250",""
"Trinidad and Tobago","1993","1244",""
"Trinidad and Tobago","1992","1237",""
"Trinidad and Tobago","1991","1230",""
"Trinidad and Tobago","1990","1222",""
"Tunisia","2012","10875",""
"Tunisia","2011","10753",""
"Tunisia","2010","10632",""
"Tunisia","2009","10511",""
"Tunisia","2008","10391",""
"Tunisia","2007","10274",""
"Tunisia","2006","10160",""
"Tunisia","2005","10051",""
"Tunisia","2004","9947",""
"Tunisia","2003","9847",""
"Tunisia","2002","9750",""
"Tunisia","2001","9652",""
"Tunisia","2000","9553",""
"Tunisia","1999","9451",""
"Tunisia","1998","9347",""
"Tunisia","1997","9237",""
"Tunisia","1996","9117",""
"Tunisia","1995","8983",""
"Tunisia","1994","8834",""
"Tunisia","1993","8672",""
"Tunisia","1992","8499",""
"Tunisia","1991","8319",""
"Tunisia","1990","8135",""
"Turkey","2012","73997",""
"Turkey","2011","73059",""
"Turkey","2010","72138",""
"Turkey","2009","71241",""
"Turkey","2008","70364",""
"Turkey","2007","69497",""
"Turkey","2006","68626",""
"Turkey","2005","67743",""
"Turkey","2004","66846",""
"Turkey","2003","65938",""
"Turkey","2002","65022",""
"Turkey","2001","64100",""
"Turkey","2000","63174",""
"Turkey","1999","62244",""
"Turkey","1998","61308",""
"Turkey","1997","60372",""
"Turkey","1996","59443",""
"Turkey","1995","58522",""
"Turkey","1994","57613",""
"Turkey","1993","56713",""
"Turkey","1992","55815",""
"Turkey","1991","54911",""
"Turkey","1990","53995",""
"Turkmenistan","2012","5173",""
"Turkmenistan","2011","5107",""
"Turkmenistan","2010","5042",""
"Turkmenistan","2009","4979",""
"Turkmenistan","2008","4918",""
"Turkmenistan","2007","4858",""
"Turkmenistan","2006","4802",""
"Turkmenistan","2005","4748",""
"Turkmenistan","2004","4697",""
"Turkmenistan","2003","4648",""
"Turkmenistan","2002","4600",""
"Turkmenistan","2001","4552",""
"Turkmenistan","2000","4501",""
"Turkmenistan","1999","4449",""
"Turkmenistan","1998","4395",""
"Turkmenistan","1997","4336",""
"Turkmenistan","1996","4268",""
"Turkmenistan","1995","4188",""
"Turkmenistan","1994","4096",""
"Turkmenistan","1993","3992",""
"Turkmenistan","1992","3882",""
"Turkmenistan","1991","3772",""
"Turkmenistan","1990","3668",""
"Tuvalu","2012","10",""
"Tuvalu","2011","10",""
"Tuvalu","2010","10",""
"Tuvalu","2009","10",""
"Tuvalu","2008","10",""
"Tuvalu","2007","10",""
"Tuvalu","2006","10",""
"Tuvalu","2005","10",""
"Tuvalu","2004","10",""
"Tuvalu","2003","10",""
"Tuvalu","2002","10",""
"Tuvalu","2001","9",""
"Tuvalu","2000","9",""
"Tuvalu","1999","9",""
"Tuvalu","1998","9",""
"Tuvalu","1997","9",""
"Tuvalu","1996","9",""
"Tuvalu","1995","9",""
"Tuvalu","1994","9",""
"Tuvalu","1993","9",""
"Tuvalu","1992","9",""
"Tuvalu","1991","9",""
"Tuvalu","1990","9",""
"Uganda","2012","36346",""
"Uganda","2011","35148",""
"Uganda","2010","33987",""
"Uganda","2009","32864",""
"Uganda","2008","31779",""
"Uganda","2007","30729",""
"Uganda","2006","29711",""
"Uganda","2005","28725",""
"Uganda","2004","27767",""
"Uganda","2003","26838",""
"Uganda","2002","25943",""
"Uganda","2001","25088",""
"Uganda","2000","24276",""
"Uganda","1999","23508",""
"Uganda","1998","22780",""
"Uganda","1997","22085",""
"Uganda","1996","21408",""
"Uganda","1995","20741",""
"Uganda","1994","20081",""
"Uganda","1993","19430",""
"Uganda","1992","18788",""
"Uganda","1991","18156",""
"Uganda","1990","17535",""
"Ukraine","2012","45530",""
"Ukraine","2011","45803",""
"Ukraine","2010","46050",""
"Ukraine","2009","46267",""
"Ukraine","2008","46461",""
"Ukraine","2007","46653",""
"Ukraine","2006","46871",""
"Ukraine","2005","47136",""
"Ukraine","2004","47450",""
"Ukraine","2003","47807",""
"Ukraine","2002","48201",""
"Ukraine","2001","48621",""
"Ukraine","2000","49057",""
"Ukraine","1999","49511",""
"Ukraine","1998","49974",""
"Ukraine","1997","50422",""
"Ukraine","1996","50821",""
"Ukraine","1995","51147",""
"Ukraine","1994","51390",""
"Ukraine","1993","51555",""
"Ukraine","1992","51648",""
"Ukraine","1991","51679",""
"Ukraine","1990","51659",""
"United Arab Emirates","2012","9206",""
"United Arab Emirates","2011","8925",""
"United Arab Emirates","2010","8442",""
"United Arab Emirates","2009","7718",""
"United Arab Emirates","2008","6799",""
"United Arab Emirates","2007","5797",""
"United Arab Emirates","2006","4876",""
"United Arab Emirates","2005","4149",""
"United Arab Emirates","2004","3659",""
"United Arab Emirates","2003","3369",""
"United Arab Emirates","2002","3224",""
"United Arab Emirates","2001","3132",""
"United Arab Emirates","2000","3026",""
"United Arab Emirates","1999","2894",""
"United Arab Emirates","1998","2753",""
"United Arab Emirates","1997","2609",""
"United Arab Emirates","1996","2471",""
"United Arab Emirates","1995","2346",""
"United Arab Emirates","1994","2232",""
"United Arab Emirates","1993","2121",""
"United Arab Emirates","1992","2013",""
"United Arab Emirates","1991","1908",""
"United Arab Emirates","1990","1806",""
"United Kingdom","2012","62783",""
"United Kingdom","2011","62427",""
"United Kingdom","2010","62066",""
"United Kingdom","2009","61701",""
"United Kingdom","2008","61333",""
"United Kingdom","2007","60970",""
"United Kingdom","2006","60621",""
"United Kingdom","2005","60291",""
"United Kingdom","2004","59984",""
"United Kingdom","2003","59698",""
"United Kingdom","2002","59432",""
"United Kingdom","2001","59184",""
"United Kingdom","2000","58951",""
"United Kingdom","1999","58735",""
"United Kingdom","1998","58534",""
"United Kingdom","1997","58347",""
"United Kingdom","1996","58169",""
"United Kingdom","1995","57997",""
"United Kingdom","1994","57833",""
"United Kingdom","1993","57674",""
"United Kingdom","1992","57520",""
"United Kingdom","1991","57367",""
"United Kingdom","1990","57214",""
"United Republic of Tanzania","2012","47783",""
"United Republic of Tanzania","2011","46355",""
"United Republic of Tanzania","2010","44973",""
"United Republic of Tanzania","2009","43640",""
"United Republic of Tanzania","2008","42354",""
"United Republic of Tanzania","2007","41120",""
"United Republic of Tanzania","2006","39942",""
"United Republic of Tanzania","2005","38824",""
"United Republic of Tanzania","2004","37765",""
"United Republic of Tanzania","2003","36761",""
"United Republic of Tanzania","2002","35806",""
"United Republic of Tanzania","2001","34895",""
"United Republic of Tanzania","2000","34021",""
"United Republic of Tanzania","1999","33183",""
"United Republic of Tanzania","1998","32378",""
"United Republic of Tanzania","1997","31586",""
"United Republic of Tanzania","1996","30780",""
"United Republic of Tanzania","1995","29944",""
"United Republic of Tanzania","1994","29067",""
"United Republic of Tanzania","1993","28157",""
"United Republic of Tanzania","1992","27236",""
"United Republic of Tanzania","1991","26337",""
"United Republic of Tanzania","1990","25485",""
"United States of America","2012","318000",""
"United States of America","2011","315000",""
"United States of America","2010","312000",""
"United States of America","2009","310000",""
"United States of America","2008","307000",""
"United States of America","2007","304000",""
"United States of America","2006","301000",""
"United States of America","2005","298000",""
"United States of America","2004","296000",""
"United States of America","2003","293000",""
"United States of America","2002","290000",""
"United States of America","2001","288000",""
"United States of America","2000","285000",""
"United States of America","1999","281000",""
"United States of America","1998","278000",""
"United States of America","1997","275000",""
"United States of America","1996","271000",""
"United States of America","1995","268000",""
"United States of America","1994","265000",""
"United States of America","1993","262000",""
"United States of America","1992","260000",""
"United States of America","1991","257000",""
"United States of America","1990","255000",""
"Uruguay","2012","3395",""
"Uruguay","2011","3383",""
"Uruguay","2010","3372",""
"Uruguay","2009","3360",""
"Uruguay","2008","3349",""
"Uruguay","2007","3338",""
"Uruguay","2006","3330",""
"Uruguay","2005","3325",""
"Uruguay","2004","3324",""
"Uruguay","2003","3325",""
"Uruguay","2002","3328",""
"Uruguay","2001","3327",""
"Uruguay","2000","3321",""
"Uruguay","1999","3309",""
"Uruguay","1998","3292",""
"Uruguay","1997","3271",""
"Uruguay","1996","3248",""
"Uruguay","1995","3224",""
"Uruguay","1994","3201",""
"Uruguay","1993","3178",""
"Uruguay","1992","3155",""
"Uruguay","1991","3132",""
"Uruguay","1990","3110",""
"Uzbekistan","2012","28541",""
"Uzbekistan","2011","28152",""
"Uzbekistan","2010","27769",""
"Uzbekistan","2009","27393",""
"Uzbekistan","2008","27023",""
"Uzbekistan","2007","26669",""
"Uzbekistan","2006","26341",""
"Uzbekistan","2005","26044",""
"Uzbekistan","2004","25784",""
"Uzbekistan","2003","25554",""
"Uzbekistan","2002","25334",""
"Uzbekistan","2001","25099",""
"Uzbekistan","2000","24829",""
"Uzbekistan","1999","24518",""
"Uzbekistan","1998","24171",""
"Uzbekistan","1997","23790",""
"Uzbekistan","1996","23381",""
"Uzbekistan","1995","22951",""
"Uzbekistan","1994","22498",""
"Uzbekistan","1993","22023",""
"Uzbekistan","1992","21534",""
"Uzbekistan","1991","21042",""
"Uzbekistan","1990","20555",""
"Vanuatu","2012","247",""
"Vanuatu","2011","242",""
"Vanuatu","2010","236",""
"Vanuatu","2009","231",""
"Vanuatu","2008","225",""
"Vanuatu","2007","220",""
"Vanuatu","2006","215",""
"Vanuatu","2005","209",""
"Vanuatu","2004","204",""
"Vanuatu","2003","199",""
"Vanuatu","2002","194",""
"Vanuatu","2001","189",""
"Vanuatu","2000","185",""
"Vanuatu","1999","181",""
"Vanuatu","1998","178",""
"Vanuatu","1997","175",""
"Vanuatu","1996","172",""
"Vanuatu","1995","168",""
"Vanuatu","1994","164",""
"Vanuatu","1993","160",""
"Vanuatu","1992","155",""
"Vanuatu","1991","151",""
"Vanuatu","1990","147",""
"Venezuela (Bolivarian Republic of)","2012","29955",""
"Venezuela (Bolivarian Republic of)","2011","29501",""
"Venezuela (Bolivarian Republic of)","2010","29043",""
"Venezuela (Bolivarian Republic of)","2009","28583",""
"Venezuela (Bolivarian Republic of)","2008","28120",""
"Venezuela (Bolivarian Republic of)","2007","27656",""
"Venezuela (Bolivarian Republic of)","2006","27191",""
"Venezuela (Bolivarian Republic of)","2005","26726",""
"Venezuela (Bolivarian Republic of)","2004","26261",""
"Venezuela (Bolivarian Republic of)","2003","25797",""
"Venezuela (Bolivarian Republic of)","2002","25334",""
"Venezuela (Bolivarian Republic of)","2001","24870",""
"Venezuela (Bolivarian Republic of)","2000","24408",""
"Venezuela (Bolivarian Republic of)","1999","23945",""
"Venezuela (Bolivarian Republic of)","1998","23483",""
"Venezuela (Bolivarian Republic of)","1997","23020",""
"Venezuela (Bolivarian Republic of)","1996","22557",""
"Venezuela (Bolivarian Republic of)","1995","22092",""
"Venezuela (Bolivarian Republic of)","1994","21627",""
"Venezuela (Bolivarian Republic of)","1993","21160",""
"Venezuela (Bolivarian Republic of)","1992","20692",""
"Venezuela (Bolivarian Republic of)","1991","20219",""
"Venezuela (Bolivarian Republic of)","1990","19741",""
"Viet Nam","2012","90796",""
"Viet Nam","2011","89914",""
"Viet Nam","2010","89047",""
"Viet Nam","2009","88200",""
"Viet Nam","2008","87369",""
"Viet Nam","2007","86553",""
"Viet Nam","2006","85748",""
"Viet Nam","2005","84948",""
"Viet Nam","2004","84151",""
"Viet Nam","2003","83353",""
"Viet Nam","2002","82548",""
"Viet Nam","2001","81729",""
"Viet Nam","2000","80888",""
"Viet Nam","1999","80028",""
"Viet Nam","1998","79141",""
"Viet Nam","1997","78199",""
"Viet Nam","1996","77167",""
"Viet Nam","1995","76020",""
"Viet Nam","1994","74748",""
"Viet Nam","1993","73363",""
"Viet Nam","1992","71899",""
"Viet Nam","1991","70403",""
"Viet Nam","1990","68910",""
"Yemen","2012","23852",""
"Yemen","2011","23304",""
"Yemen","2010","22763",""
"Yemen","2009","22230",""
"Yemen","2008","21704",""
"Yemen","2007","21182",""
"Yemen","2006","20662",""
"Yemen","2005","20140",""
"Yemen","2004","19613",""
"Yemen","2003","19081",""
"Yemen","2002","18551",""
"Yemen","2001","18030",""
"Yemen","2000","17523",""
"Yemen","1999","17036",""
"Yemen","1998","16564",""
"Yemen","1997","16088",""
"Yemen","1996","15579",""
"Yemen","1995","15018",""
"Yemen","1994","14397",""
"Yemen","1993","13727",""
"Yemen","1992","13041",""
"Yemen","1991","12385",""
"Yemen","1990","11790",""
"Zambia","2012","14075",""
"Zambia","2011","13634",""
"Zambia","2010","13217",""
"Zambia","2009","12825",""
"Zambia","2008","12457",""
"Zambia","2007","12110",""
"Zambia","2006","11782",""
"Zambia","2005","11470",""
"Zambia","2004","11175",""
"Zambia","2003","10895",""
"Zambia","2002","10625",""
"Zambia","2001","10362",""
"Zambia","2000","10101",""
"Zambia","1999","9839",""
"Zambia","1998","9577",""
"Zambia","1997","9320",""
"Zambia","1996","9073",""
"Zambia","1995","8841",""
"Zambia","1994","8625",""
"Zambia","1993","8423",""
"Zambia","1992","8229",""
"Zambia","1991","8038",""
"Zambia","1990","7845",""
"Zimbabwe","2012","13724",""
"Zimbabwe","2011","13359",""
"Zimbabwe","2010","13077",""
"Zimbabwe","2009","12889",""
"Zimbabwe","2008","12784",""
"Zimbabwe","2007","12740",""
"Zimbabwe","2006","12724",""
"Zimbabwe","2005","12711",""
"Zimbabwe","2004","12693",""
"Zimbabwe","2003","12673",""
"Zimbabwe","2002","12641",""
"Zimbabwe","2001","12587",""
"Zimbabwe","2000","12504",""
"Zimbabwe","1999","12385",""
"Zimbabwe","1998","12229",""
"Zimbabwe","1997","12046",""
"Zimbabwe","1996","11846",""
"Zimbabwe","1995","11639",""
"Zimbabwe","1994","11429",""
"Zimbabwe","1993","11211",""
"Zimbabwe","1992","10981",""
"Zimbabwe","1991","10733",""
"Zimbabwe","1990","10462",""

