"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Andorra","2022","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Import","28464.536","1168.6","Weight in kilograms","1168.6"
"Andorra","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","22538.588","1096.59","Weight in kilograms","1096.59"
"Andorra","2022","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import","2634.064","116.3","Weight in kilograms","116.3"
"Andorra","2022","Mate","Import","35301.463","7352.8","Weight in kilograms","7352.8"
"Andorra","2022","Spices; pepper (of the genus piper), neither crushed nor ground","Import","4560.51","293.4","Weight in kilograms","293.4"
"Andorra","2022","Spices; pepper (of the genus piper), crushed or ground","Import","4422.275","481.19","Weight in kilograms","481.19"
"Andorra","2022","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Import","2055.282","224.66","Weight in kilograms","224.66"
"Andorra","2022","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Import","4962.491","641.92","Weight in kilograms","641.92"
"Andorra","2022","Spices; vanilla, neither crushed nor ground","Import","3094.986","47.26","Weight in kilograms","47.26"
"Andorra","2022","Spices; vanilla, crushed or ground","Import","1426.909","29.63","Weight in kilograms","29.63"
"Andorra","2022","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","114.437","8","Weight in kilograms","8"
"Andorra","2022","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","217.369","23.03","Weight in kilograms","23.03"
"Andorra","2022","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Import","397.322","41.31","Weight in kilograms","41.31"
"Andorra","2022","Spices; nutmeg, neither crushed nor ground","Import","37.227","2","Weight in kilograms","2"
"Andorra","2022","Spices; nutmeg, crushed or ground","Import","250.737","17.84","Weight in kilograms","17.84"
"Andorra","2022","Spices; mace, crushed or ground","Import","65.295","4","Weight in kilograms","4"
"Andorra","2022","Spices; cumin seeds, neither crushed nor ground","Import","106.55","23","Weight in kilograms","23"
"Andorra","2022","Spices; cumin seeds, crushed or ground","Import","130.621","11","Weight in kilograms","11"
"Andorra","2022","Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground","Import","2312.519","544.84","Weight in kilograms","544.84"
"Andorra","2022","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Import","133.293","30","Weight in kilograms","30"
"Andorra","2022","Spices; ginger, neither crushed nor ground","Import","881.918","240.78","Weight in kilograms","240.78"
"Andorra","2022","Spices; ginger, crushed or ground","Import","754.42","11.6","Weight in kilograms","11.6"
"Andorra","2022","Spices; saffron","Import","7518.733","29.63","Weight in kilograms","29.63"
"Andorra","2022","Spices; turmeric (curcuma)","Import","297.292","20.84","Weight in kilograms","20.84"
"Andorra","2022","Spices; mixtures of 2 or more products of different headings","Import","940.988","95.04","Weight in kilograms","95.04"
"Andorra","2022","Spices; n.e.c. in heading no. 0910","Import","659188.367","98874.59","Weight in kilograms","98874.59"
"Andorra","2020","Coffee; not roasted or decaffeinated","Import","170533.788","54415.59","Weight in kilograms","54415.59"
"Andorra","2020","Coffee; decaffeinated, not roasted","Import","4888.888","668.5","Weight in kilograms","668.5"
"Andorra","2020","Coffee; roasted, not decaffeinated","Export","1423.588","363","Weight in kilograms","363"
"Andorra","2020","Coffee; roasted, not decaffeinated","Import","4606339.171","418098.65","Weight in kilograms","418098.65"
"Andorra","2020","Coffee; roasted, decaffeinated","Import","245921.835","14495.94","Weight in kilograms","14495.94"
"Andorra","2020","Coffee; roasted, decaffeinated","Export","97.811","12","Weight in kilograms","12"
"Andorra","2020","Coffee; husks and skins, coffee substitutes containing coffee in any proportion","Import","14387.885","3897.32","Weight in kilograms","3897.32"
"Andorra","2020","Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg","Import","365821.829","22875.09","Weight in kilograms","22875.09"
"Andorra","2020","Tea, green; (not fermented), in immediate packings of a content exceeding 3kg","Import","6311.748","252.5","Weight in kilograms","252.5"
"Andorra","2020","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg","Import","23199.94","1280.65","Weight in kilograms","1280.65"
"Andorra","2020","Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg","Import","1030.713","35.2","Weight in kilograms","35.2"
"Andorra","2020","Mate","Import","25786.556","4581.8","Weight in kilograms","4581.8"
"Andorra","2020","Spices; pepper (of the genus piper), neither crushed nor ground","Import","1578.892","167.14","Weight in kilograms","167.14"
"Andorra","2020","Spices; pepper (of the genus piper), crushed or ground","Import","12276.184","1907.21","Weight in kilograms","1907.21"
"Andorra","2020","Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground","Import","3799.796","390.03","Weight in kilograms","390.03"
"Andorra","2020","Spices; fruits of the genus Capsicum or Pimenta, crushed or ground","Import","2402.842","234.03","Weight in kilograms","234.03"
"Andorra","2020","Spices; vanilla, neither crushed nor ground","Import","1286.364","4.49","Weight in kilograms","4.49"
"Andorra","2020","Spices; vanilla, crushed or ground","Import","189.502","0.74","Weight in kilograms","0.74"
"Andorra","2020","Spices; cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","197.291","19.43","Weight in kilograms","19.43"
"Andorra","2020","Spices; cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","Import","932.788","22.66","Weight in kilograms","22.66"
"Andorra","2020","Spices; cinnamon and cinnamon-tree flowers, crushed or ground","Import","524.193","57.83","Weight in kilograms","57.83"
"Andorra","2020","Spices; cloves (whole fruit, cloves and stems), neither crushed nor ground","Import","47.001","2.19","Weight in kilograms","2.19"
"Andorra","2020","Spices; nutmeg, neither crushed nor ground","Import","35.871","1.95","Weight in kilograms","1.95"
"Andorra","2020","Spices; nutmeg, crushed or ground","Import","203.194","12.05","Weight in kilograms","12.05"
"Andorra","2020","Spices; cardamoms, neither crushed nor ground","Import","37.633","1.66","Weight in kilograms","1.66"
"Andorra","2020","Spices; cardamoms, crushed or ground","Import","24.456","0.42","Weight in kilograms","0.42"
"Andorra","2020","Spices; coriander seeds, neither crushed nor ground","Import","16.14","1.35","Weight in kilograms","1.35"
"Andorra","2020","Spices; coriander seeds, crushed or ground","Import","46.223","0.86","Weight in kilograms","0.86"
"Andorra","2020","Spices; cumin seeds, crushed or ground","Import","47.538","2.06","Weight in kilograms","2.06"
