"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Slovenia","2022","Spices; mace, neither crushed nor ground","Import","95.68","2","Weight in kilograms","2"
"Slovenia","2022","Spices; mace, crushed or ground","Import","143.39","1.8","Weight in kilograms","1.8"
"Slovenia","2022","Spices; cardamoms, neither crushed nor ground","Export","5346.862","117.52","Weight in kilograms","117.52"
"Slovenia","2022","Spices; cardamoms, neither crushed nor ground","Import","16429.63","297.74","Weight in kilograms","297.74"
"Slovenia","2022","Spices; cardamoms, crushed or ground","Export","533.67","5.46","Weight in kilograms","5.46"
"Slovenia","2022","Spices; cardamoms, crushed or ground","Import","38847.13","799.27","Weight in kilograms","799.27"
"Slovenia","2022","Spices; coriander seeds, neither crushed nor ground","Export","57227.922","15430.3","Weight in kilograms","15430.3"
"Slovenia","2022","Spices; coriander seeds, neither crushed nor ground","Import","28312.8","2629.11","Weight in kilograms","2629.11"
"Slovenia","2022","Spices; coriander seeds, crushed or ground","Export","1887.749","304.26","Weight in kilograms","304.26"
"Slovenia","2022","Spices; coriander seeds, crushed or ground","Import","10071.66","2022.68","Weight in kilograms","2022.68"
"Slovenia","2022","Spices; cumin seeds, neither crushed nor ground","Export","3001.5","422.37","Weight in kilograms","422.37"
"Slovenia","2022","Spices; cumin seeds, neither crushed nor ground","Import","14067.05","894.02","Weight in kilograms","894.02"
"Slovenia","2022","Spices; cumin seeds, crushed or ground","Import","18366.28","2821.58","Weight in kilograms","2821.58"
"Slovenia","2022","Spices; cumin seeds, crushed or ground","Export","1904.612","169.27","Weight in kilograms","169.27"
"Slovenia","2022","Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground","Import","1013865.65","257085.7","Weight in kilograms","257085.7"
"Slovenia","2022","Spices; seeds of anise, badian, caraway or fennel; juniper berries, neither crushed nor ground","Export","235123.659","51219.56","Weight in kilograms","51219.56"
"Slovenia","2022","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Export","426.005","14.62","Weight in kilograms","14.62"
"Slovenia","2022","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Import","115119.59","15297.51","Weight in kilograms","15297.51"
"Slovenia","2022","Spices; ginger, neither crushed nor ground","Export","198552.925","107185.87","Weight in kilograms","107185.87"
"Slovenia","2022","Spices; ginger, neither crushed nor ground","Import","658330.25","301236.83","Weight in kilograms","301236.83"
"Slovenia","2022","Spices; ginger, crushed or ground","Import","136853.68","13844.01","Weight in kilograms","13844.01"
"Slovenia","2022","Spices; ginger, crushed or ground","Export","13412.478","685.64","Weight in kilograms","685.64"
"Slovenia","2022","Spices; saffron","Import","50169.75","1321.161","Weight in kilograms","1321.161"
"Slovenia","2022","Spices; saffron","Export","208.612","0.21","Weight in kilograms","0.21"
"Slovenia","2022","Spices; turmeric (curcuma)","Export","46583.961","3265.45","Weight in kilograms","3265.45"
"Slovenia","2022","Spices; turmeric (curcuma)","Import","289371.69","33007.6","Weight in kilograms","33007.6"
"Slovenia","2022","Spices; mixtures of 2 or more products of different headings","Import","640437.09","65103.27","Weight in kilograms","65103.27"
"Slovenia","2022","Spices; mixtures of 2 or more products of different headings","Export","61306.381","8276.62","Weight in kilograms","8276.62"
"Slovenia","2022","Spices; n.e.c. in heading no. 0910","Export","135013.324","16255.77","Weight in kilograms","16255.77"
